,Filing Name,Filing Date,District Court,Exchange,Ticker,HeadQuarters,Listing
0,Verizon Communications Inc.,08/01/2023,D. New Jersey,New York SE,VZ,Headquarters: United States,Market Status: Public (Listed)
1,"Aldeyra Therapeutics, Inc.",07/31/2023,D. Massachusetts,NASDAQ,ALDX,Headquarters: United States,Market Status: Public (Listed)
2,AT&T Inc.,07/28/2023,D. New Jersey,New York SE,T,Headquarters: United States,Market Status: Public (Listed)
3,"Syneos Health, Inc.",07/27/2023,S.D. New York,NASDAQ,SYNH,Headquarters: United States,Market Status: Public (Listed)
4,"Bausch Health Companies, Inc.",07/26/2023,D. New Jersey,New York SE,BHC,Headquarters: United States,Market Status: Public (Listed)
5,Lordstown Motors Corp.,07/26/2023,N.D. Ohio,NASDAQ,RIDE,Headquarters: United States,Market Status: Public (Listed)
6,"Sumo Logic, Inc.",07/25/2023,N.D. California,NASDAQ,SUMO,Headquarters: United States,Market Status: Public (Listed)
7,Sea Limited : American Depositary Shares,07/21/2023,D. Arizona,New York SE,SE,Headquarters: Singapore,Market Status: Public (Listed)
8,Danaher Corporation,07/17/2023,D. District Columbia,New York SE,DHR,Headquarters: United States,Market Status: Public (Listed)
9,Proterra Inc.,07/14/2023,N.D. California,NASDAQ,PTRA,Headquarters: United States,Market Status: Public (Listed)
10,Rain Oncology Inc.,07/14/2023,N.D. California,NASDAQ,RAIN,Headquarters: United States,Market Status: Public (Listed)
11,"Baxter International, Inc.",07/12/2023,N.D. Illinois,New York SE,BAX,Headquarters: United States,Market Status: Public (Listed)
12,Seagate Technology Holdings plc,07/10/2023,N.D. California,NASDAQ,STX,Headquarters: United States,Market Status: Public (Listed)
13,"BioXcel Therapeutics, Inc.",07/07/2023,D. Connecticut,NASDAQ,BTAI,Headquarters: United States,Market Status: Public (Listed)
14,Mallinckrodt plc,07/07/2023,D. New Jersey,New York SE,MNK,Headquarters: Ireland,Market Status: Public (Listed)
15,Hub Cyber Security Ltd.,07/06/2023,S.D. New York,NASDAQ,HUBC,Headquarters: Israel,Market Status: Public (Listed)
16,"ImmunityBio, Inc.",06/30/2023,S.D. California,NASDAQ,IBRX,Headquarters: United States,Market Status: Public (Listed)
17,"Cornerstone Building Brands, Inc.",06/27/2023,D. Delaware,New York SE,CNR,Headquarters: United States,Market Status: Public (Listed)
18,Arrow Financial Corporation,06/23/2023,N.D. New York,NASDAQ,AROW,Headquarters: United States,Market Status: Public (Listed)
19,GDS Holdings Limited : American Depositary Shares,06/21/2023,C.D. California,NASDAQ,GDS,Headquarters: China,Market Status: Public (Listed)
20,UP Fintech Holding Limited : American Depositary Shares,06/20/2023,C.D. California,NASDAQ,TIGR,Headquarters: China,Market Status: Public (Listed)
21,NovoCure Limited,06/19/2023,S.D. New York,NASDAQ,NVCR,Headquarters: Bailiwick of Jersey,Market Status: Public (Listed)
22,TriplePoint Venture Growth BDC Corp.,06/16/2023,N.D. California,New York SE,TPVG,Headquarters: United States,Market Status: Public (Listed)
23,DZS Inc.,06/14/2023,E.D. Texas,NASDAQ,DZSI,Headquarters: United States,Market Status: Public (Listed)
24,"Electric Last Mile Solutions, Inc.",06/14/2023,D. Delaware,NASDAQ,ELMS,Headquarters: United States,Market Status: Public (Listed)
25,Futu Holdings Limited : American Depositary Shares,06/12/2023,D. New Jersey,NASDAQ,FUTU,Headquarters: China,Market Status: Public (Listed)
26,DouYu International Holdings Limited : American Depositary Shares,06/09/2023,D. New Jersey,NASDAQ,DOYU,Headquarters: China,Market Status: Public (Listed)
27,"Peloton Interactive, Inc.",06/09/2023,E.D. New York,NASDAQ,PTON,Headquarters: United States,Market Status: Public (Listed)
28,"Tingo Group, Inc.",06/08/2023,D. New Jersey,NASDAQ,TIO,Headquarters: United States,Market Status: Public (Listed)
29,"SentinelOne, Inc.",06/06/2023,N.D. California,New York SE,S,Headquarters: United States,Market Status: Public (Listed)
